,time,side,exec_price,last_price,quantity,num_coins,coin_value,cash,nav,dailyPnL,dailyPnLPct,totalPnL,totalPnLPct,VaR_annualized
0,2021-01-01,no-trade,0.0,29374.15234375,0.0,0.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0
1,2021-01-02,buy,32159.394845703122,32127.267578125,6.73357110139565,6.73357110139565,216331.24053086792,783452.4282286012,999783.6687594692,-216.3312405308243,-0.0002163312405308243,-216.3312405308243,-0.0002163312405308243,-0.23896679348943647
2,2021-01-03,sell,32749.2414140625,32782.0234375,1.0980005662005086,5.635570535195141,184745.40536845152,819411.113843879,1004156.5192123305,4372.850452861283,0.004373796641714615,4156.519212330459,0.004156519212330459,-0.20314968225168747
3,2021-01-04,sell,31939.9421484375,31971.9140625,5.635570535195141,0.0,0.0,999410.9107114507,999410.9107114507,-4745.608500879724,-0.0047259649368230185,-589.0892885492649,-0.0005890892885492649,-0.0
4,2021-01-05,no-trade,0.0,33992.4296875,0.0,0.0,0.0,999410.9107114507,999410.9107114507,0.0,0.0,-589.0892885492649,-0.0005890892885492649,-0.0
5,2021-01-06,no-trade,0.0,36824.36328125,0.0,0.0,0.0,999410.9107114507,999410.9107114507,0.0,0.0,-589.0892885492649,-0.0005890892885492649,-0.0
6,2021-01-07,buy,39410.41401171875,39371.04296875,4.644689260981891,4.644689260981891,182866.2604706097,816361.7839803704,999228.0444509801,-182.86626047058962,-0.0001829740485226568,-771.9555490198545,-0.0007719555490198545,-0.2169231959073568
7,2021-01-08,no-trade,0.0,40797.609375,0.0,4.644689260981891,189492.21813779662,816361.7839803704,1005854.002118167,6625.957667186856,0.006631076563536053,5854.002118167002,0.005854002118167002,-0.21010815729209634
8,2021-01-09,no-trade,0.0,40254.546875,0.0,4.644689260981891,186969.86157600462,816361.7839803704,1003331.645556375,-2522.3565617919667,-0.0025076766175610864,3331.645556375035,0.0033316455563750353,-0.2116093258864919
9,2021-01-10,no-trade,0.0,38356.44140625,0.0,4.644689260981891,178153.7514890905,816361.7839803704,994515.5354694609,-8816.110086914152,-0.008786835465580652,-5484.464530539117,-0.005484464530539117,-0.21252389579455266
10,2021-01-11,no-trade,0.0,35566.65625,0.0,4.644689260981891,165196.06633340946,816361.7839803704,981557.8503137799,-12957.685155680985,-0.013029143028484028,-18442.149686220102,-0.018442149686220103,-0.21776094989509004
11,2021-01-12,no-trade,0.0,33922.9609375,0.0,4.644689260981891,157561.61236711443,816361.7839803704,973923.3963474848,-7634.453966295114,-0.0077778950714464425,-26076.603652515216,-0.026076603652515216,-0.21778834565094182
12,2021-01-13,no-trade,0.0,37316.359375,0.0,4.644689260981891,173322.8936480034,816361.7839803704,989684.6776283737,15761.281280888943,0.016183286426836693,-10315.322371626273,-0.010315322371626273,-0.2486182071677662
13,2021-01-14,no-trade,0.0,39187.328125,0.0,4.644689260981891,182012.9621087611,816361.7839803704,998374.7460891315,8690.068460757728,0.008780643630436043,-1625.253910868545,-0.001625253910868545,-0.2596288597688064
14,2021-01-15,sell,36788.5418203125,36825.3671875,1.066743985469853,3.577945275512038,131759.14854751164,855605.7397013949,987364.8882489066,-11009.857840224868,-0.011027780784072383,-12635.111751093413,-0.012635111751093412,-0.20017039008260287
15,2021-01-16,no-trade,0.0,36178.140625,0.0,3.577945275512038,129443.40732602887,855605.7397013949,985049.1470274238,-2315.741221482749,-0.0023453753005028568,-14950.852972576162,-0.014950852972576163,-0.19040185749137306
16,2021-01-17,no-trade,0.0,35791.27734375,0.0,3.577945275512038,128059.23167661135,855605.7397013949,983664.9713780063,-1384.1756494175643,-0.001405184354095003,-16335.028621993726,-0.016335028621993725,-0.18554846207511635
17,2021-01-18,no-trade,0.0,36630.07421875,0.0,3.577945275512038,131060.40099263185,855605.7397013949,986666.1406940268,3001.1693160205614,0.0030510076126999356,-13333.859305973165,-0.013333859305973165,-0.18940733228484544
18,2021-01-19,no-trade,0.0,36069.8046875,0.0,3.577945275512038,129055.78727028258,855605.7397013949,984661.5269716776,-2004.6137223492842,-0.0020317041800372586,-15338.473028322449,-0.015338473028322449,-0.18787947157202192
19,2021-01-20,no-trade,0.0,35547.75,0.0,3.577945275512038,127187.90416758304,855605.7397013949,982793.6438689779,-1867.8831026996486,-0.0018969798773841762,-17206.356131022098,-0.0172063561310221,-0.1853369219893383
20,2021-01-21,sell,30794.87351953125,30825.69921875,3.577945275512038,0.0,0.0,965788.1119205925,965788.1119205925,-17005.53194838541,-0.01730325796719593,-34211.88807940751,-0.03421188807940751,-0.0
21,2021-01-22,no-trade,0.0,33005.76171875,0.0,0.0,0.0,965788.1119205925,965788.1119205925,0.0,0.0,-34211.88807940751,-0.03421188807940751,-0.0
22,2021-01-23,no-trade,0.0,32067.642578125,0.0,0.0,0.0,965788.1119205925,965788.1119205925,0.0,0.0,-34211.88807940751,-0.03421188807940751,-0.0
23,2021-01-24,no-trade,0.0,32289.37890625,0.0,0.0,0.0,965788.1119205925,965788.1119205925,0.0,0.0,-34211.88807940751,-0.03421188807940751,-0.0
24,2021-01-25,no-trade,0.0,32366.392578125,0.0,0.0,0.0,965788.1119205925,965788.1119205925,0.0,0.0,-34211.88807940751,-0.03421188807940751,-0.0
25,2021-01-26,no-trade,0.0,32569.849609375,0.0,0.0,0.0,965788.1119205925,965788.1119205925,0.0,0.0,-34211.88807940751,-0.03421188807940751,-0.0
26,2021-01-27,no-trade,0.0,30432.546875,0.0,0.0,0.0,965788.1119205925,965788.1119205925,0.0,0.0,-34211.88807940751,-0.03421188807940751,-0.0
27,2021-01-28,no-trade,0.0,31649.60546875,0.0,0.0,0.0,965788.1119205925,965788.1119205925,0.0,0.0,-34211.88807940751,-0.03421188807940751,-0.0
28,2021-01-29,no-trade,0.0,34316.38671875,0.0,0.0,0.0,965788.1119205925,965788.1119205925,0.0,0.0,-34211.88807940751,-0.03421188807940751,-0.0
29,2021-01-30,no-trade,0.0,34269.5234375,0.0,0.0,0.0,965788.1119205925,965788.1119205925,0.0,0.0,-34211.88807940751,-0.03421188807940751,-0.0
30,2021-01-31,no-trade,0.0,33114.359375,0.0,0.0,0.0,965788.1119205925,965788.1119205925,0.0,0.0,-34211.88807940751,-0.03421188807940751,-0.0
